Month-Year,Language,Count
Oct2019,Telugu,129
Nov2019,English,86
Oct2019,Hindi,463
Sept2019,English,124
Dec2019,Hindi,2112
Jan2020,English,774
Oct2019,Tamil,15
Nov2019,Tamil,15
Dec2019,Gujarati,119
Dec2019,Malayalam,16
Dec2019,Tamil,89
Nov2019,Hindi,162
Jan2020,Kannada,63
Nov2019,Telugu,79
Jan2020,Tamil,79
Dec2019,English,1128
Sept2019,Tamil,4
Jan2020,Marathi,11
Oct2019,English,417
Sept2019,Hindi,138
Dec2019,Kannada,138
Jan2020,Telugu,138
Jan2020,Hindi,1324
Sept2019,Telugu,15
Dec2019,Marathi,16
Dec2019,Telugu,311
Dec2019,Bengali,56
Jan2020,Gujarati,133
Jan2020,Malayalam,11
Jan2020,Bengali,101
